extinction_rate,DCorr-X_powers,DCorr-X_stds,LjungX_powers,LjungX_stds,BoxPierceX_powers,BoxPierceX_stds,MGC-X_powers,MGC-X_stds
0.200,0.03666666666666667,0.1879420714534727,0.05,0.21794494717703364,0.06666666666666667,0.24944382578492946,0.17,0.375632799419859
0.225,0.08666666666666667,0.28134597128012256,0.06666666666666667,0.24944382578492946,0.056666666666666664,0.23120457511813114,0.19333333333333333,0.39491208585653026
0.250,0.05333333333333334,0.22469732728470287,0.043333333333333335,0.20360637405433932,0.03333333333333333,0.17950549357115012,0.22,0.4142463035441596
0.275,0.07,0.25514701644346144,0.056666666666666664,0.23120457511813117,0.06,0.23748684174075835,0.2733333333333333,0.4456705310228872
0.300,0.06666666666666667,0.24944382578492946,0.05,0.21794494717703364,0.04666666666666667,0.21092389359408498,0.33,0.47021271782034985
0.325,0.056666666666666664,0.23120457511813117,0.03666666666666667,0.18794207145347266,0.05333333333333334,0.2246973272847029,0.38333333333333336,0.48619840486049404
0.350,0.06666666666666667,0.24944382578492946,0.05333333333333334,0.22469732728470287,0.056666666666666664,0.23120457511813117,0.4266666666666667,0.49459298642643756
0.375,0.08333333333333333,0.2763853991962833,0.08,0.2712931993250107,0.08,0.2712931993250107,0.52,0.49959983987187184
0.400,0.06333333333333334,0.24356153682842083,0.07,0.25514701644346144,0.06666666666666667,0.24944382578492943,0.6033333333333334,0.4892057054268912
0.425,0.07333333333333333,0.2606828639468954,0.04666666666666667,0.21092389359408498,0.05,0.21794494717703364,0.6966666666666667,0.45969796847737127
0.450,0.07,0.2551470164434615,0.06666666666666667,0.24944382578492943,0.06666666666666667,0.24944382578492946,0.7533333333333333,0.4310710176087256
0.475,0.10333333333333333,0.3043937508483963,0.07666666666666666,0.2660618140374317,0.06666666666666667,0.24944382578492946,0.7866666666666666,0.4096611065529924
0.500,0.09666666666666666,0.29550333707459586,0.05333333333333334,0.22469732728470287,0.05,0.21794494717703367,0.8733333333333333,0.33259919155377127
0.525,0.10666666666666667,0.30868898407440604,0.043333333333333335,0.20360637405433932,0.056666666666666664,0.23120457511813117,0.91,0.2861817604250837
0.550,0.12,0.3249615361854384,0.07,0.25514701644346144,0.08,0.2712931993250107,0.9133333333333333,0.28134597128012256
0.575,0.14333333333333334,0.3504124553849205,0.023333333333333334,0.15095989165632337,0.02666666666666667,0.16110727964792765,0.9633333333333334,0.18794207145347266
0.600,0.18333333333333332,0.38693955887479664,0.08333333333333333,0.2763853991962833,0.06666666666666667,0.24944382578492943,0.9733333333333334,0.16110727964792765
0.625,0.21666666666666667,0.41197356981027583,0.09,0.2861817604250837,0.09,0.2861817604250837,0.9933333333333333,0.08137703743822468
0.650,0.17333333333333334,0.3785351884420904,0.07333333333333333,0.2606828639468954,0.06,0.23748684174075835,0.9966666666666667,0.05763872155263526
0.675,0.24333333333333335,0.42909465415246345,0.1,0.30000000000000004,0.1,0.3,0.9966666666666667,0.05763872155263527
0.700,0.2633333333333333,0.44044169749115364,0.04666666666666667,0.21092389359408498,0.056666666666666664,0.23120457511813117,1.0,0.0
0.725,0.3466666666666667,0.47590848793532653,0.056666666666666664,0.23120457511813117,0.056666666666666664,0.23120457511813117,1.0,0.0
0.750,0.38666666666666666,0.4869861964733246,0.04,0.19595917942265428,0.043333333333333335,0.20360637405433935,1.0,0.0
0.775,0.49666666666666665,0.49998888876542935,0.056666666666666664,0.23120457511813117,0.06333333333333334,0.24356153682842088,1.0,0.0
0.800,0.5566666666666666,0.4967785108968472,0.07333333333333333,0.2606828639468954,0.06666666666666667,0.24944382578492943,1.0,0.0
0.825,0.6866666666666666,0.4638486343146388,0.056666666666666664,0.2312045751181312,0.05333333333333334,0.22469732728470287,1.0,0.0
0.850,0.7633333333333333,0.42503594619226687,0.06,0.23748684174075835,0.06666666666666667,0.24944382578492943,1.0,0.0
0.875,0.9,0.3,0.05333333333333334,0.22469732728470287,0.06,0.23748684174075835,1.0,0.0
0.900,0.9533333333333334,0.21092389359408498,0.1,0.3,0.07333333333333333,0.2606828639468953,1.0,0.0
0.925,0.9366666666666666,0.24356153682842085,0.056666666666666664,0.23120457511813117,0.06333333333333334,0.24356153682842085,1.0,0.0
0.950,0.99,0.099498743710662,0.08666666666666667,0.28134597128012256,0.07333333333333333,0.2606828639468954,1.0,0.0
0.975,0.99,0.09949874371066199,0.02666666666666667,0.16110727964792765,0.03333333333333333,0.17950549357115012,1.0,0.0
