extinction_rate,CCA-X_powers,CCA-X_stds
0.2,0.03333333333333333,0.17950549357115012
0.225,0.043333333333333335,0.20360637405433932
0.25,0.03666666666666667,0.1879420714534727
0.275,0.043333333333333335,0.20360637405433937
0.3,0.03666666666666667,0.1879420714534727
0.325,0.03666666666666667,0.1879420714534727
0.35,0.05,0.21794494717703367
0.375,0.056666666666666664,0.23120457511813117
0.4,0.023333333333333334,0.15095989165632337
0.425,0.04,0.19595917942265423
0.45,0.05,0.21794494717703364
0.475,0.05,0.21794494717703364
0.5,0.04,0.19595917942265423
0.525,0.03,0.1705872210923198
0.55,0.02666666666666667,0.16110727964792765
0.575,0.04666666666666667,0.21092389359408498
0.6,0.04666666666666667,0.21092389359408498
0.625,0.05333333333333334,0.22469732728470287
0.65,0.02666666666666667,0.16110727964792765
0.675,0.07333333333333333,0.2606828639468954
0.7,0.03333333333333333,0.17950549357115012
0.725,0.04,0.19595917942265428
0.75,0.03333333333333333,0.17950549357115012
0.775,0.03666666666666667,0.18794207145347266
0.8,0.04,0.19595917942265428
0.825,0.023333333333333334,0.15095989165632337
0.85,0.02666666666666667,0.16110727964792765
0.875,0.04,0.19595917942265426
0.9,0.05333333333333334,0.22469732728470287
0.925,0.023333333333333334,0.15095989165632337
0.95,0.043333333333333335,0.20360637405433937
0.975,0.023333333333333334,0.15095989165632337
