n,d,phi,test,power,std
200,1,0.2,DcorrX,0.503946053946054,0.28513192635361445
200,1,0.2,LjungBox,0.4928181676413978,0.297460142746398
200,1,0.2,MGCX,0.5057675657675658,0.28442069334940157
200,1,0.25,DcorrX,0.4996969696969697,0.2952690254398504
200,1,0.25,LjungBox,0.4496161388866522,0.2968049461180374
200,1,0.25,MGCX,0.503036963036963,0.29336504070347746
200,1,0.3,DcorrX,0.4877355977355977,0.28520991264739587
200,1,0.3,LjungBox,0.42950631225984975,0.2902386298995703
200,1,0.3,MGCX,0.4892274392274392,0.28529110143736086
200,1,0.35,DcorrX,0.5105094905094906,0.29525029639180334
200,1,0.35,LjungBox,0.4765647379374237,0.2943613165651381
200,1,0.35,MGCX,0.503932733932734,0.29651008210565094
200,1,0.3999999999999999,DcorrX,0.4959074259074259,0.2878565597857788
200,1,0.3999999999999999,LjungBox,0.48284165134481505,0.30454397373230463
200,1,0.3999999999999999,MGCX,0.49409257409257407,0.2880902886750308
200,1,0.4499999999999999,DcorrX,0.49035631035631033,0.28038491966847284
200,1,0.4499999999999999,LjungBox,0.45258542814387775,0.3083632795812322
200,1,0.4499999999999999,MGCX,0.48829503829503823,0.2826861476932558
200,1,0.4999999999999999,DcorrX,0.47971028971028973,0.29604251787307895
200,1,0.4999999999999999,LjungBox,0.40203057224792765,0.3109893891713617
200,1,0.4999999999999999,MGCX,0.4794905094905095,0.2987531306576316
200,1,0.5499999999999999,DcorrX,0.47092574092574085,0.28939402097771805
200,1,0.5499999999999999,LjungBox,0.41302272760863656,0.3149124567709664
200,1,0.5499999999999999,MGCX,0.4675724275724276,0.2922227028517954
200,1,0.5999999999999999,DcorrX,0.4723343323343323,0.29681294789622636
200,1,0.5999999999999999,LjungBox,0.37846487367799936,0.3142518058672345
200,1,0.5999999999999999,MGCX,0.47757242757242757,0.29357142527835334
200,1,0.6499999999999999,DcorrX,0.4831468531468532,0.29521089614338775
200,1,0.6499999999999999,LjungBox,0.3421318372680526,0.3093883196962387
200,1,0.6499999999999999,MGCX,0.4851814851814852,0.2913461863607884
200,1,0.7,DcorrX,0.4787012987012987,0.2861022037830713
200,1,0.7,LjungBox,0.33297972165058415,0.30928540068054067
200,1,0.7,MGCX,0.4801298701298702,0.28748111884256006
200,1,0.7499999999999998,DcorrX,0.42527472527472526,0.27543750880047563
200,1,0.7499999999999998,LjungBox,0.2954830479107671,0.30871399524139376
200,1,0.7499999999999998,MGCX,0.41921744921744925,0.2767846552104332
200,1,0.7999999999999998,DcorrX,0.4696436896436896,0.2853245325401441
200,1,0.7999999999999998,LjungBox,0.2855833308107477,0.2986117294724817
200,1,0.7999999999999998,MGCX,0.4702830502830503,0.2842256782624559
200,1,0.8499999999999999,DcorrX,0.4176223776223776,0.2807565094943989
200,1,0.8499999999999999,LjungBox,0.23843958209716234,0.2875824862069096
200,1,0.8499999999999999,MGCX,0.41137196137196136,0.28310192467321976
200,1,0.8999999999999999,DcorrX,0.41504162504162506,0.28021048732769444
200,1,0.8999999999999999,LjungBox,0.22455518141717354,0.3018085092982182
200,1,0.8999999999999999,MGCX,0.40530469530469526,0.27745545785478043
200,1,0.9499999999999996,DcorrX,0.32362970362970356,0.28311410612902477
200,1,0.9499999999999996,LjungBox,0.15873464693581402,0.2640039739783371
200,1,0.9499999999999996,MGCX,0.3033433233433233,0.2689922697906418
