n,d,pval,test
10,1,0.7492507492507493,LjungBox
10,1,0.42957042957042957,LjungBox
10,1,0.21178821178821178,LjungBox
10,1,0.07992007992007992,LjungBox
10,1,0.44655344655344653,LjungBox
10,1,0.08491508491508491,LjungBox
10,1,0.2707292707292707,LjungBox
10,1,0.967032967032967,LjungBox
10,1,0.8391608391608392,LjungBox
10,1,0.35364635364635366,LjungBox
10,1,0.002997002997002997,LjungBox
10,1,0.007992007992007992,LjungBox
10,1,0.991008991008991,LjungBox
10,1,0.4645354645354645,LjungBox
10,1,0.4115884115884116,LjungBox
10,1,0.03696303696303696,LjungBox
10,1,0.0959040959040959,LjungBox
10,1,0.002997002997002997,LjungBox
10,1,0.05194805194805195,LjungBox
10,1,0.022977022977022976,LjungBox
10,1,0.07692307692307693,LjungBox
10,1,0.46253746253746253,LjungBox
10,1,0.052947052947052944,LjungBox
10,1,0.03596403596403597,LjungBox
10,1,0.00999000999000999,LjungBox
10,1,0.3956043956043956,LjungBox
10,1,0.991008991008991,LjungBox
10,1,0.47652347652347654,LjungBox
10,1,0.08491508491508491,LjungBox
10,1,0.7052947052947053,LjungBox
10,1,0.006993006993006993,LjungBox
10,1,0.06793206793206794,LjungBox
10,1,0.008991008991008992,LjungBox
10,1,0.12387612387612387,LjungBox
10,1,0.1108891108891109,LjungBox
10,1,0.21878121878121878,LjungBox
10,1,0.01098901098901099,LjungBox
10,1,0.9460539460539461,LjungBox
10,1,0.14185814185814186,LjungBox
10,1,0.3036963036963037,LjungBox
10,1,0.999000999000999,LjungBox
10,1,0.01898101898101898,LjungBox
10,1,0.017982017982017984,LjungBox
10,1,0.1848151848151848,LjungBox
10,1,0.9760239760239761,LjungBox
10,1,0.2517482517482518,LjungBox
10,1,0.027972027972027972,LjungBox
10,1,0.7992007992007992,LjungBox
10,1,0.14585414585414586,LjungBox
10,1,0.3436563436563437,LjungBox
10,1,0.13286713286713286,LjungBox
10,1,0.977022977022977,LjungBox
10,1,0.7662337662337663,LjungBox
10,1,0.7222777222777222,LjungBox
10,1,0.7262737262737263,LjungBox
10,1,0.5484515484515484,LjungBox
10,1,0.12487512487512488,LjungBox
10,1,0.03396603396603397,LjungBox
10,1,0.44655344655344653,LjungBox
10,1,0.9430569430569431,LjungBox
10,1,0.001998001998001998,LjungBox
10,1,0.11888111888111888,LjungBox
10,1,0.45354645354645357,LjungBox
10,1,0.09490509490509491,LjungBox
10,1,0.8061938061938062,LjungBox
10,1,0.9070929070929071,LjungBox
10,1,0.053946053946053944,LjungBox
10,1,0.12287712287712288,LjungBox
10,1,0.1918081918081918,LjungBox
10,1,0.1038961038961039,LjungBox
10,1,0.0969030969030969,LjungBox
10,1,0.5774225774225774,LjungBox
10,1,0.6723276723276723,LjungBox
10,1,0.6703296703296703,LjungBox
10,1,0.8611388611388612,LjungBox
10,1,0.029970029970029972,LjungBox
10,1,0.014985014985014986,LjungBox
10,1,0.987012987012987,LjungBox
10,1,0.8881118881118881,LjungBox
10,1,0.47352647352647353,LjungBox
10,1,0.5504495504495505,LjungBox
10,1,0.03496503496503497,LjungBox
10,1,0.14385614385614387,LjungBox
10,1,0.6433566433566433,LjungBox
10,1,0.00999000999000999,LjungBox
10,1,0.057942057942057944,LjungBox
10,1,0.2937062937062937,LjungBox
10,1,0.33466533466533466,LjungBox
10,1,0.6813186813186813,LjungBox
10,1,0.4915084915084915,LjungBox
10,1,0.01998001998001998,LjungBox
10,1,0.8961038961038961,LjungBox
10,1,0.11388611388611389,LjungBox
10,1,0.08691308691308691,LjungBox
10,1,0.15084915084915085,LjungBox
10,1,0.03196803196803197,LjungBox
10,1,0.15384615384615385,LjungBox
10,1,0.030969030969030968,LjungBox
10,1,0.17082917082917082,LjungBox
10,1,0.35764235764235763,LjungBox
10,1,0.6593406593406593,LjungBox
