n,d,pval,test
10,1,0.7682317682317682,LjungBox
10,1,0.6833166833166833,LjungBox
10,1,0.1958041958041958,LjungBox
10,1,0.3696303696303696,LjungBox
10,1,0.7422577422577422,LjungBox
10,1,0.8911088911088911,LjungBox
10,1,0.06593406593406594,LjungBox
10,1,0.8251748251748252,LjungBox
10,1,0.5564435564435565,LjungBox
10,1,0.0999000999000999,LjungBox
10,1,0.8211788211788211,LjungBox
10,1,0.26573426573426573,LjungBox
10,1,0.2017982017982018,LjungBox
10,1,0.26673326673326675,LjungBox
10,1,0.023976023976023976,LjungBox
10,1,0.0959040959040959,LjungBox
10,1,0.4985014985014985,LjungBox
10,1,0.4155844155844156,LjungBox
10,1,0.6093906093906094,LjungBox
10,1,0.17382617382617382,LjungBox
10,1,0.9090909090909091,LjungBox
10,1,0.6343656343656343,LjungBox
10,1,0.058941058941058944,LjungBox
10,1,0.5334665334665335,LjungBox
10,1,0.8791208791208791,LjungBox
10,1,0.5204795204795205,LjungBox
10,1,0.3706293706293706,LjungBox
10,1,0.08691308691308691,LjungBox
10,1,0.26173826173826176,LjungBox
10,1,0.4125874125874126,LjungBox
10,1,0.23776223776223776,LjungBox
10,1,0.26173826173826176,LjungBox
10,1,0.4915084915084915,LjungBox
10,1,0.17782217782217782,LjungBox
10,1,0.017982017982017984,LjungBox
10,1,0.24675324675324675,LjungBox
10,1,0.967032967032967,LjungBox
10,1,0.3206793206793207,LjungBox
10,1,0.5804195804195804,LjungBox
10,1,0.2967032967032967,LjungBox
10,1,0.4775224775224775,LjungBox
10,1,0.4405594405594406,LjungBox
10,1,0.3986013986013986,LjungBox
10,1,0.21878121878121878,LjungBox
10,1,0.9920079920079921,LjungBox
10,1,0.23976023976023977,LjungBox
10,1,0.5224775224775224,LjungBox
10,1,0.12487512487512488,LjungBox
10,1,0.31868131868131866,LjungBox
10,1,0.7582417582417582,LjungBox
10,1,0.4785214785214785,LjungBox
10,1,0.5664335664335665,LjungBox
10,1,0.19480519480519481,LjungBox
10,1,0.34065934065934067,LjungBox
10,1,0.5254745254745254,LjungBox
10,1,0.4435564435564436,LjungBox
10,1,0.2517482517482518,LjungBox
10,1,0.4755244755244755,LjungBox
10,1,0.2937062937062937,LjungBox
10,1,0.7502497502497503,LjungBox
10,1,0.4045954045954046,LjungBox
10,1,0.12887112887112886,LjungBox
10,1,0.8001998001998002,LjungBox
10,1,0.5824175824175825,LjungBox
10,1,0.8281718281718282,LjungBox
10,1,0.3166833166833167,LjungBox
10,1,0.07392607392607392,LjungBox
10,1,0.962037962037962,LjungBox
10,1,0.6213786213786214,LjungBox
10,1,0.3176823176823177,LjungBox
10,1,0.47352647352647353,LjungBox
10,1,0.2037962037962038,LjungBox
10,1,0.952047952047952,LjungBox
10,1,0.988011988011988,LjungBox
10,1,0.8891108891108891,LjungBox
10,1,0.2987012987012987,LjungBox
10,1,0.35764235764235763,LjungBox
10,1,0.0999000999000999,LjungBox
10,1,0.16383616383616384,LjungBox
10,1,0.058941058941058944,LjungBox
10,1,0.2517482517482518,LjungBox
10,1,0.07392607392607392,LjungBox
10,1,0.45554445554445555,LjungBox
10,1,0.3196803196803197,LjungBox
10,1,0.4675324675324675,LjungBox
10,1,0.19480519480519481,LjungBox
10,1,0.2727272727272727,LjungBox
10,1,0.3166833166833167,LjungBox
10,1,0.6313686313686314,LjungBox
10,1,0.6203796203796204,LjungBox
10,1,0.03596403596403597,LjungBox
10,1,0.5054945054945055,LjungBox
10,1,0.5874125874125874,LjungBox
10,1,0.8021978021978022,LjungBox
10,1,0.6913086913086913,LjungBox
10,1,0.7132867132867133,LjungBox
10,1,0.14585414585414586,LjungBox
10,1,0.11488511488511488,LjungBox
10,1,0.4485514485514486,LjungBox
10,1,0.7362637362637363,LjungBox
10,1,0.24275724275724275,LjungBox
10,1,0.968031968031968,LjungBox
10,1,0.4005994005994006,LjungBox
10,1,0.6553446553446554,LjungBox
10,1,0.2967032967032967,LjungBox
10,1,0.7772227772227772,LjungBox
10,1,0.2897102897102897,LjungBox
10,1,0.5154845154845155,LjungBox
10,1,0.6943056943056943,LjungBox
10,1,0.6553446553446554,LjungBox
10,1,0.011988011988011988,LjungBox
10,1,0.00999000999000999,LjungBox
10,1,0.0899100899100899,LjungBox
