n,d,pval,test
10,1,0.06893106893106893,LjungBox
10,1,0.004995004995004995,LjungBox
10,1,0.42857142857142855,LjungBox
10,1,0.7472527472527473,LjungBox
10,1,0.7892107892107892,LjungBox
10,1,0.3116883116883117,LjungBox
10,1,0.9200799200799201,LjungBox
10,1,0.03896103896103896,LjungBox
10,1,0.4125874125874126,LjungBox
10,1,0.22777222777222778,LjungBox
10,1,0.47352647352647353,LjungBox
10,1,0.9560439560439561,LjungBox
10,1,0.5854145854145855,LjungBox
10,1,0.06293706293706294,LjungBox
10,1,0.34065934065934067,LjungBox
10,1,0.43156843156843155,LjungBox
10,1,0.8251748251748252,LjungBox
10,1,0.4925074925074925,LjungBox
10,1,0.16983016983016982,LjungBox
10,1,0.22277722277722278,LjungBox
10,1,0.31868131868131866,LjungBox
10,1,0.44255744255744256,LjungBox
10,1,0.7092907092907093,LjungBox
10,1,0.5254745254745254,LjungBox
10,1,0.43756243756243757,LjungBox
10,1,0.3596403596403596,LjungBox
10,1,0.2517482517482518,LjungBox
10,1,0.13386613386613386,LjungBox
10,1,0.12887112887112886,LjungBox
10,1,0.12987012987012986,LjungBox
10,1,0.008991008991008992,LjungBox
10,1,0.1968031968031968,LjungBox
10,1,0.9050949050949051,LjungBox
10,1,0.7492507492507493,LjungBox
10,1,0.056943056943056944,LjungBox
10,1,0.4955044955044955,LjungBox
10,1,0.03196803196803197,LjungBox
10,1,0.1958041958041958,LjungBox
10,1,0.03196803196803197,LjungBox
10,1,0.27472527472527475,LjungBox
10,1,0.48451548451548454,LjungBox
10,1,0.08491508491508491,LjungBox
10,1,0.2897102897102897,LjungBox
10,1,0.3066933066933067,LjungBox
10,1,0.05094905094905095,LjungBox
10,1,0.18081918081918083,LjungBox
10,1,0.17182817182817184,LjungBox
10,1,0.029970029970029972,LjungBox
10,1,0.3906093906093906,LjungBox
10,1,0.03496503496503497,LjungBox
10,1,0.6963036963036963,LjungBox
10,1,0.3336663336663337,LjungBox
10,1,0.2937062937062937,LjungBox
10,1,0.8511488511488512,LjungBox
10,1,0.37162837162837165,LjungBox
10,1,0.11888111888111888,LjungBox
10,1,0.17582417582417584,LjungBox
10,1,0.03596403596403597,LjungBox
10,1,0.059940059940059943,LjungBox
10,1,0.36363636363636365,LjungBox
10,1,0.02097902097902098,LjungBox
10,1,0.014985014985014986,LjungBox
10,1,0.3006993006993007,LjungBox
10,1,0.06793206793206794,LjungBox
10,1,0.1998001998001998,LjungBox
10,1,0.07392607392607392,LjungBox
10,1,0.12487512487512488,LjungBox
10,1,0.3306693306693307,LjungBox
10,1,0.2817182817182817,LjungBox
10,1,0.08791208791208792,LjungBox
10,1,0.6153846153846154,LjungBox
10,1,0.04295704295704296,LjungBox
10,1,0.008991008991008992,LjungBox
10,1,0.007992007992007992,LjungBox
10,1,0.023976023976023976,LjungBox
10,1,0.08091908091908091,LjungBox
10,1,0.053946053946053944,LjungBox
10,1,0.03696303696303696,LjungBox
10,1,0.3776223776223776,LjungBox
10,1,0.5094905094905094,LjungBox
10,1,0.7032967032967034,LjungBox
10,1,0.8641358641358642,LjungBox
10,1,0.35864135864135865,LjungBox
10,1,0.6883116883116883,LjungBox
10,1,0.12087912087912088,LjungBox
10,1,0.22477522477522477,LjungBox
10,1,0.48451548451548454,LjungBox
10,1,0.004995004995004995,LjungBox
10,1,0.04695304695304695,LjungBox
10,1,0.052947052947052944,LjungBox
10,1,0.8941058941058941,LjungBox
10,1,0.057942057942057944,LjungBox
10,1,0.6633366633366633,LjungBox
10,1,0.11888111888111888,LjungBox
10,1,0.7272727272727273,LjungBox
10,1,0.013986013986013986,LjungBox
10,1,0.06493506493506493,LjungBox
10,1,0.32167832167832167,LjungBox
10,1,0.13686313686313686,LjungBox
10,1,0.18081918081918083,LjungBox
10,1,0.001998001998001998,LjungBox
10,1,0.011988011988011988,LjungBox
10,1,0.19080919080919082,LjungBox
10,1,0.4775224775224775,LjungBox
10,1,0.23276723276723277,LjungBox
10,1,0.38961038961038963,LjungBox
10,1,0.5044955044955045,LjungBox
10,1,0.17782217782217782,LjungBox
10,1,0.5304695304695305,LjungBox
10,1,0.0919080919080919,LjungBox
10,1,0.14785214785214784,LjungBox
10,1,0.5094905094905094,LjungBox
10,1,0.7532467532467533,LjungBox
10,1,0.27672327672327673,LjungBox
10,1,0.44755244755244755,LjungBox
10,1,0.03696303696303696,LjungBox
10,1,0.12287712287712288,LjungBox
10,1,0.3516483516483517,LjungBox
10,1,0.17482517482517482,LjungBox
10,1,0.1018981018981019,LjungBox
10,1,0.7182817182817183,LjungBox
10,1,0.016983016983016984,LjungBox
10,1,0.5984015984015985,LjungBox
10,1,0.7662337662337663,LjungBox
10,1,0.6963036963036963,LjungBox
10,1,0.3726273726273726,LjungBox
10,1,0.07992007992007992,LjungBox
10,1,0.23376623376623376,LjungBox
10,1,0.23676323676323677,LjungBox
10,1,0.057942057942057944,LjungBox
10,1,0.46653346653346656,LjungBox
10,1,0.48451548451548454,LjungBox
10,1,0.3726273726273726,LjungBox
10,1,0.06393606393606394,LjungBox
10,1,0.00999000999000999,LjungBox
10,1,0.2137862137862138,LjungBox
10,1,0.21178821178821178,LjungBox
10,1,0.007992007992007992,LjungBox
10,1,0.1008991008991009,LjungBox
10,1,0.08191808191808192,LjungBox
10,1,0.16083916083916083,LjungBox
10,1,0.16683316683316685,LjungBox
10,1,0.0969030969030969,LjungBox
10,1,0.3246753246753247,LjungBox
10,1,0.9460539460539461,LjungBox
10,1,0.5764235764235764,LjungBox
10,1,0.14285714285714285,LjungBox
10,1,0.08391608391608392,LjungBox
10,1,0.4725274725274725,LjungBox
10,1,0.5904095904095904,LjungBox
10,1,0.4775224775224775,LjungBox
10,1,0.967032967032967,LjungBox
10,1,0.00999000999000999,LjungBox
10,1,0.24175824175824176,LjungBox
10,1,0.10589410589410589,LjungBox
10,1,0.5744255744255744,LjungBox
10,1,0.7382617382617382,LjungBox
10,1,0.5924075924075924,LjungBox
10,1,0.3086913086913087,LjungBox
10,1,0.014985014985014986,LjungBox
10,1,0.12987012987012986,LjungBox
10,1,0.16883116883116883,LjungBox
10,1,0.4355644355644356,LjungBox
10,1,0.48151848151848153,LjungBox
10,1,0.21478521478521478,LjungBox
10,1,0.13586413586413587,LjungBox
10,1,0.011988011988011988,LjungBox
10,1,0.25574425574425574,LjungBox
10,1,0.24975024975024976,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.1028971028971029,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.27472527472527475,LjungBox
20,1,0.5394605394605395,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.015984015984015984,LjungBox
20,1,0.22377622377622378,LjungBox
20,1,0.012987012987012988,LjungBox
20,1,0.01098901098901099,LjungBox
20,1,0.004995004995004995,LjungBox
20,1,0.18581418581418582,LjungBox
20,1,0.028971028971028972,LjungBox
20,1,0.028971028971028972,LjungBox
20,1,0.017982017982017984,LjungBox
20,1,0.2177822177822178,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.15684315684315683,LjungBox
20,1,0.0979020979020979,LjungBox
20,1,0.04295704295704296,LjungBox
20,1,0.2097902097902098,LjungBox
20,1,0.5974025974025974,LjungBox
20,1,0.006993006993006993,LjungBox
20,1,0.34865134865134867,LjungBox
20,1,0.022977022977022976,LjungBox
20,1,0.7732267732267732,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.06493506493506493,LjungBox
20,1,0.9140859140859141,LjungBox
20,1,0.6473526473526473,LjungBox
20,1,0.016983016983016984,LjungBox
20,1,0.015984015984015984,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.03496503496503497,LjungBox
20,1,0.9530469530469531,LjungBox
20,1,0.058941058941058944,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.5074925074925075,LjungBox
20,1,0.4995004995004995,LjungBox
20,1,0.8741258741258742,LjungBox
20,1,0.004995004995004995,LjungBox
20,1,0.1928071928071928,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.003996003996003996,LjungBox
20,1,0.003996003996003996,LjungBox
20,1,0.026973026973026972,LjungBox
20,1,0.04795204795204795,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.015984015984015984,LjungBox
20,1,0.08891108891108891,LjungBox
20,1,0.08591408591408592,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.003996003996003996,LjungBox
20,1,0.12887112887112886,LjungBox
20,1,0.12787212787212787,LjungBox
20,1,0.13886113886113885,LjungBox
20,1,0.7732267732267732,LjungBox
20,1,0.014985014985014986,LjungBox
20,1,0.945054945054945,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.8081918081918081,LjungBox
20,1,0.1018981018981019,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.7442557442557443,LjungBox
20,1,0.011988011988011988,LjungBox
20,1,0.3706293706293706,LjungBox
20,1,0.016983016983016984,LjungBox
20,1,0.04795204795204795,LjungBox
20,1,0.07792207792207792,LjungBox
20,1,0.0979020979020979,LjungBox
20,1,0.15884115884115885,LjungBox
20,1,0.2957042957042957,LjungBox
20,1,0.01098901098901099,LjungBox
20,1,0.7672327672327672,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.16983016983016982,LjungBox
20,1,0.36663336663336665,LjungBox
20,1,0.012987012987012988,LjungBox
20,1,0.6453546453546454,LjungBox
20,1,0.025974025974025976,LjungBox
20,1,0.030969030969030968,LjungBox
20,1,0.971028971028971,LjungBox
20,1,0.16383616383616384,LjungBox
20,1,0.20279720279720279,LjungBox
20,1,0.03496503496503497,LjungBox
20,1,0.02097902097902098,LjungBox
20,1,0.011988011988011988,LjungBox
20,1,0.03796203796203796,LjungBox
20,1,0.14185814185814186,LjungBox
20,1,0.004995004995004995,LjungBox
20,1,0.01098901098901099,LjungBox
20,1,0.024975024975024976,LjungBox
20,1,0.4435564435564436,LjungBox
20,1,0.2007992007992008,LjungBox
20,1,0.1998001998001998,LjungBox
20,1,0.011988011988011988,LjungBox
20,1,0.23676323676323677,LjungBox
20,1,0.1018981018981019,LjungBox
20,1,0.052947052947052944,LjungBox
20,1,0.003996003996003996,LjungBox
20,1,0.5584415584415584,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.026973026973026972,LjungBox
20,1,0.1258741258741259,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.01898101898101898,LjungBox
20,1,0.9280719280719281,LjungBox
20,1,0.07792207792207792,LjungBox
20,1,0.08891108891108891,LjungBox
20,1,0.09290709290709291,LjungBox
20,1,0.4885114885114885,LjungBox
20,1,0.23776223776223776,LjungBox
20,1,0.07592407592407592,LjungBox
20,1,0.011988011988011988,LjungBox
20,1,0.008991008991008992,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.6013986013986014,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.28471528471528473,LjungBox
20,1,0.4865134865134865,LjungBox
20,1,0.022977022977022976,LjungBox
20,1,0.22377622377622378,LjungBox
20,1,0.06693306693306693,LjungBox
20,1,0.12087912087912088,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.01898101898101898,LjungBox
20,1,0.15984015984015984,LjungBox
20,1,0.03396603396603397,LjungBox
20,1,0.6443556443556444,LjungBox
20,1,0.8971028971028971,LjungBox
20,1,0.3516483516483517,LjungBox
20,1,0.7152847152847153,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.029970029970029972,LjungBox
20,1,0.22977022977022976,LjungBox
20,1,0.016983016983016984,LjungBox
20,1,0.13186813186813187,LjungBox
20,1,0.08791208791208792,LjungBox
20,1,0.017982017982017984,LjungBox
20,1,0.7732267732267732,LjungBox
20,1,0.012987012987012988,LjungBox
20,1,0.05194805194805195,LjungBox
20,1,0.5714285714285714,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.3176823176823177,LjungBox
20,1,0.11888111888111888,LjungBox
20,1,0.027972027972027972,LjungBox
20,1,0.2727272727272727,LjungBox
20,1,0.02097902097902098,LjungBox
20,1,0.14485514485514486,LjungBox
20,1,0.47052947052947053,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.02097902097902098,LjungBox
20,1,0.24575424575424576,LjungBox
20,1,0.016983016983016984,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.35364635364635366,LjungBox
20,1,0.25374625374625376,LjungBox
20,1,0.08691308691308691,LjungBox
20,1,0.2137862137862138,LjungBox
20,1,0.08091908091908091,LjungBox
20,1,0.017982017982017984,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.09290709290709291,LjungBox
20,1,0.11388611388611389,LjungBox
20,1,0.013986013986013986,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.008991008991008992,LjungBox
20,1,0.024975024975024976,LjungBox
20,1,0.014985014985014986,LjungBox
20,1,0.08191808191808192,LjungBox
20,1,0.22677322677322678,LjungBox
20,1,0.0969030969030969,LjungBox
20,1,0.014985014985014986,LjungBox
20,1,0.3626373626373626,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.0969030969030969,LjungBox
20,1,0.1108891108891109,LjungBox
20,1,0.1068931068931069,LjungBox
20,1,0.12387612387612387,LjungBox
20,1,0.06393606393606394,LjungBox
20,1,0.002997002997002997,LjungBox
20,1,0.04195804195804196,LjungBox
20,1,0.8471528471528471,LjungBox
20,1,0.02197802197802198,LjungBox
20,1,0.006993006993006993,LjungBox
20,1,0.9400599400599401,LjungBox
20,1,0.024975024975024976,LjungBox
20,1,0.10789210789210789,LjungBox
20,1,0.16683316683316685,LjungBox
20,1,0.026973026973026972,LjungBox
20,1,0.07392607392607392,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.07192807192807193,LjungBox
20,1,0.5084915084915085,LjungBox
20,1,0.03696303696303696,LjungBox
20,1,0.23776223776223776,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.008991008991008992,LjungBox
20,1,0.01098901098901099,LjungBox
20,1,0.04095904095904096,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.03296703296703297,LjungBox
20,1,0.1018981018981019,LjungBox
20,1,0.5194805194805194,LjungBox
20,1,0.2867132867132867,LjungBox
20,1,0.027972027972027972,LjungBox
20,1,0.8661338661338661,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.07192807192807193,LjungBox
20,1,0.04795204795204795,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.014985014985014986,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.02097902097902098,LjungBox
20,1,0.012987012987012988,LjungBox
20,1,0.5424575424575424,LjungBox
20,1,0.03996003996003996,LjungBox
20,1,0.07192807192807193,LjungBox
20,1,0.027972027972027972,LjungBox
20,1,0.013986013986013986,LjungBox
20,1,0.003996003996003996,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.04695304695304695,LjungBox
20,1,0.24775224775224775,LjungBox
20,1,0.001998001998001998,LjungBox
20,1,0.08491508491508491,LjungBox
20,1,0.24475524475524477,LjungBox
20,1,0.07492507492507493,LjungBox
20,1,0.25074925074925075,LjungBox
20,1,0.03296703296703297,LjungBox
20,1,0.02197802197802198,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.08891108891108891,LjungBox
20,1,0.004995004995004995,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.21478521478521478,LjungBox
20,1,0.026973026973026972,LjungBox
20,1,0.030969030969030968,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.011988011988011988,LjungBox
20,1,0.08491508491508491,LjungBox
20,1,0.013986013986013986,LjungBox
20,1,0.1018981018981019,LjungBox
20,1,0.3776223776223776,LjungBox
20,1,0.14085914085914086,LjungBox
20,1,0.02097902097902098,LjungBox
20,1,0.5254745254745254,LjungBox
20,1,0.027972027972027972,LjungBox
20,1,0.11288711288711288,LjungBox
20,1,0.004995004995004995,LjungBox
20,1,0.04095904095904096,LjungBox
20,1,0.025974025974025976,LjungBox
20,1,0.013986013986013986,LjungBox
20,1,0.12387612387612387,LjungBox
20,1,0.2967032967032967,LjungBox
20,1,0.006993006993006993,LjungBox
20,1,0.1108891108891109,LjungBox
20,1,0.35764235764235763,LjungBox
20,1,0.16283716283716285,LjungBox
20,1,0.014985014985014986,LjungBox
20,1,0.000999000999000999,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.005994005994005994,LjungBox
20,1,0.8861138861138861,LjungBox
20,1,0.06393606393606394,LjungBox
20,1,0.06393606393606394,LjungBox
20,1,0.004995004995004995,LjungBox
20,1,0.03196803196803197,LjungBox
20,1,0.04695304695304695,LjungBox
20,1,0.00999000999000999,LjungBox
20,1,0.1038961038961039,LjungBox
20,1,0.030969030969030968,LjungBox
20,1,0.20279720279720279,LjungBox
20,1,0.1978021978021978,LjungBox
20,1,0.6453546453546454,LjungBox
20,1,0.012987012987012988,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.016983016983016984,LjungBox
20,1,0.08591408591408592,LjungBox
20,1,0.23076923076923078,LjungBox
20,1,0.15484515484515485,LjungBox
20,1,0.08591408591408592,LjungBox
20,1,0.008991008991008992,LjungBox
20,1,0.007992007992007992,LjungBox
20,1,0.08091908091908091,LjungBox
20,1,0.014985014985014986,LjungBox
20,1,0.057942057942057944,LjungBox
20,1,0.013986013986013986,LjungBox
20,1,0.15684315684315683,LjungBox
20,1,0.003996003996003996,LjungBox
20,1,0.08691308691308691,LjungBox
20,1,0.025974025974025976,LjungBox
30,1,2.598135498764422e-06,LjungBox
30,1,0.021194947147373196,LjungBox
30,1,7.450830109224236e-05,LjungBox
30,1,0.0001998369689612016,LjungBox
30,1,0.001430040636027196,LjungBox
30,1,0.002403636030132536,LjungBox
30,1,0.3772459600023115,LjungBox
30,1,0.0068192953451803665,LjungBox
30,1,0.00021529348037497943,LjungBox
30,1,0.021965294115562223,LjungBox
30,1,0.000315917867617061,LjungBox
30,1,0.0001660890543912913,LjungBox
30,1,0.0002781663540504723,LjungBox
30,1,0.010051239728693526,LjungBox
30,1,0.0017025625621109603,LjungBox
30,1,0.003996113921323985,LjungBox
30,1,0.0016103229309039715,LjungBox
30,1,0.01662129645003463,LjungBox
30,1,0.0053030717432677715,LjungBox
30,1,0.00044112598317306364,LjungBox
30,1,0.0042924863869206464,LjungBox
30,1,0.026356317073103763,LjungBox
30,1,0.0022765060847694946,LjungBox
