n,d,pval,test
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.025974025974025976,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.006993006993006993,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.005994005994005994,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.005994005994005994,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.00999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.008991008991008992,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.006993006993006993,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.003996003996003996,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.004995004995004995,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
10,100,0.002997002997002997,DcorrX
10,100,0.000999000999000999,DcorrX
10,100,0.001998001998001998,DcorrX
