n,d,pval,test
10,1,0.4385614385614386,LjungBox
10,1,0.8941058941058941,LjungBox
10,1,0.9250749250749251,LjungBox
10,1,0.9170829170829171,LjungBox
10,1,0.11588411588411589,LjungBox
10,1,0.8551448551448552,LjungBox
10,1,0.3256743256743257,LjungBox
10,1,0.2047952047952048,LjungBox
10,1,0.9660339660339661,LjungBox
10,1,0.7952047952047953,LjungBox
10,1,0.6793206793206793,LjungBox
10,1,0.5994005994005994,LjungBox
10,1,0.34565434565434566,LjungBox
10,1,0.03496503496503497,LjungBox
10,1,0.9150849150849151,LjungBox
10,1,0.011988011988011988,LjungBox
10,1,0.3246753246753247,LjungBox
10,1,0.5404595404595405,LjungBox
10,1,0.3336663336663337,LjungBox
10,1,0.6113886113886113,LjungBox
10,1,0.5064935064935064,LjungBox
10,1,0.7632367632367633,LjungBox
10,1,0.22377622377622378,LjungBox
10,1,0.5254745254745254,LjungBox
10,1,0.7542457542457542,LjungBox
10,1,0.7292707292707292,LjungBox
10,1,0.7312687312687313,LjungBox
10,1,0.5024975024975025,LjungBox
10,1,0.5484515484515484,LjungBox
10,1,0.4725274725274725,LjungBox
10,1,0.32167832167832167,LjungBox
10,1,0.5694305694305695,LjungBox
10,1,1.0,LjungBox
10,1,0.35064935064935066,LjungBox
10,1,0.9500499500499501,LjungBox
10,1,0.961038961038961,LjungBox
10,1,0.1258741258741259,LjungBox
10,1,0.4785214785214785,LjungBox
10,1,0.7422577422577422,LjungBox
10,1,0.5944055944055944,LjungBox
10,1,0.27972027972027974,LjungBox
10,1,0.3016983016983017,LjungBox
10,1,0.7402597402597403,LjungBox
10,1,0.3076923076923077,LjungBox
10,1,0.5804195804195804,LjungBox
10,1,0.030969030969030968,LjungBox
10,1,0.31868131868131866,LjungBox
10,1,0.7372627372627373,LjungBox
10,1,0.7182817182817183,LjungBox
10,1,0.8371628371628371,LjungBox
10,1,0.9310689310689311,LjungBox
10,1,0.5334665334665335,LjungBox
10,1,0.44655344655344653,LjungBox
10,1,0.35864135864135865,LjungBox
10,1,0.98001998001998,LjungBox
